retrieved;author_id;username;id;created_at(utc);lang;tweet;type;likes;quotes;replies;retweets;tweetcount;followers;following;url
04/08/2022 20:18:32;512613427;DangeRussWilson;1502319220884914178;11/03/2022 16:23:08;en;Amazing Plays W/ Amazing Players 🏆 https://t.co/XoRVMGwjvI;quoted;12892;111;331;936;12211;5669811;119;https://twitter.com/twitter/status/1502319220884914178
04/08/2022 20:18:35;512613427;DangeRussWilson;1507484654277853190;25/03/2022 22:28:43;en;Love you 33. Keep raising it. 🙏🏾🙏🏾🙏🏾 #MarathonContinues 🏁 #Prez https://t.co/b1k8dip5iw;quoted;1392;0;24;61;12211;5669811;119;https://twitter.com/twitter/status/1507484654277853190
04/08/2022 20:18:35;512613427;DangeRussWilson;1507371795271192576;25/03/2022 15:00:16;en;RT @GoldmanSachs: Denver Broncos quarterback @DangeRussWilson shares his father’s philosophy that guides his success in football and busine…;retweeted;0;0;0;61;12211;5669811;119;https://twitter.com/twitter/status/1507371795271192576
04/08/2022 20:18:35;512613427;DangeRussWilson;1507333134857097222;25/03/2022 12:26:38;en;“and the peace of God, which surpasses all understanding, will guard your hearts and minds through Christ Jesus.” Philippians 4:7 NKJV;op;9134;26;180;824;12211;5669811;119;https://twitter.com/twitter/status/1507333134857097222
04/08/2022 20:18:35;512613427;DangeRussWilson;1507211582987649028;25/03/2022 04:23:38;en;Houston with the big upset!;op;4912;44;125;226;12211;5669811;119;https://twitter.com/twitter/status/1507211582987649028
04/08/2022 20:18:35;512613427;DangeRussWilson;1507165442871218177;25/03/2022 01:20:18;und;🥶🥶🥶 https://t.co/d5VZo6uFhi;op;7672;200;224;877;12211;5669811;119;https://twitter.com/twitter/status/1507165442871218177
04/08/2022 20:18:35;512613427;DangeRussWilson;1507135696934301706;24/03/2022 23:22:06;en;they thought I was done… I told em I’m just gettin’ started. #LetsRide https://t.co/cITZ9abj9Q;op;26045;758;1464;1679;12211;5669811;119;https://twitter.com/twitter/status/1507135696934301706
04/08/2022 20:18:35;512613427;DangeRussWilson;1506684813440262147;23/03/2022 17:30:27;en;RT @NFLUK: Already throwing DIMES for the @Broncos 🏈  🧡 @DangeRussWilson https://t.co/fbtMvDkSdc;retweeted;0;0;0;80;12211;5669811;119;https://twitter.com/twitter/status/1506684813440262147
04/08/2022 20:18:35;512613427;DangeRussWilson;1506400615232008195;22/03/2022 22:41:08;hu;RT @Broncos: .@DangeRussWilson in a Broncos helmet 👀 https://t.co/DllNdDBdz0;retweeted;0;0;0;407;12211;5669811;119;https://twitter.com/twitter/status/1506400615232008195
04/08/2022 20:18:35;512613427;DangeRussWilson;1506392144021377024;22/03/2022 22:07:29;en;Uh oh. 😏 @SuttonCourtland https://t.co/LBPVIhoUKp;op;38855;1548;909;4260;12211;5669811;119;https://twitter.com/twitter/status/1506392144021377024
